ID,Product ID,Category,Subcategory,Brand,Product / Label,Style / Age / Flavour,Country / Region,Bottle Size,Size (ml),Notes
1,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
2,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
3,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
4,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
5,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
6,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
7,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,440 ml,440,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
8,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,473 ml,473,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
9,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,500 ml,500,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
10,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,650 ml,650,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
11,1,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Boston Lager,Boston Lager,United States,750 ml,750,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
12,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,250 ml,250,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
13,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,275 ml,275,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
14,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,300 ml,300,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
15,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,330 ml,330,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
16,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,341 ml,341,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
17,2,Beer / Stout / Malt,Ale,Samuel Adams,Samuel Adams Cherry Wheat,Cherry Wheat,United States,355 ml,355,Availability and exact bottle size vary by country and distributor; verify against supplier catalogue.
